,name,city,state,score,rank,TLR_SS Score (Max 15.00),TLR_FSR Score (Max 15.00),TLR_FQE Score (Max 10.00),TLR_FRU Score (Max 10.00),RP_PU Score (Max 10.00),RP_QP Score (Max 10.00),RP_IPR Score (Max 10.00),RP_FPPP Score (Max 10.00),GO_GPH Score (Max 10.00),GO_GUE Score (Max 10.00),GO_MS Score (Max 10.00),GO_GPHD Score (Max 10.00),OI_RD Score (Max 4.00),OI_WD Score (Max 4.00),OI_ESCS Score (Max 4.00),OI_PCS Score (Max 3.00),PR Score (Max 15.00)
68,Visvesvaraya Technological University,Belgaum,Karnataka,49.8,69,7.27,20.17,11.25,22.58,24.88,19.73,2.5,0.94,31.45,14.78,9.25,,0.06,25.26,1.29,20.0,7.1
69,University of Hyderabad,Hyderabad,Telangana,49.3,70,4.9,28.81,18.26,13.93,26.04,21.53,0.5,2.66,18.22,,12.18,,7.56,19.32,0.0,20.0,6.72
70,National Institute of Technology Raipur,Raipur,Chhattisgarh,48.88,71,13.94,19.01,12.76,12.12,18.69,19.36,2.25,0.5,29.05,15.0,14.17,,11.92,16.48,8.56,20.0,3.91
71,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,48.86,72,15.01,17.58,12.32,12.84,14.61,16.54,2.25,0.81,33.93,15.0,16.0,,12.28,18.45,9.89,20.0,11.47
72,Indian Institute of Technology Bhilai,Raipur,Chhattisgarh,48.8,73,6.36,29.97,17.45,22.94,6.65,7.74,0.0,5.54,32.6,15.0,17.43,,22.56,9.22,,20.0,7.48
73,International Institute of Information Technology Bangalore,Bengaluru,Karnataka,48.61,74,8.43,19.13,12.08,26.85,8.97,5.67,0.5,,29.44,15.0,22.68,,23.28,15.65,0.0,20.0,22.1
74,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,48.33,75,14.4,27.43,14.99,11.44,10.98,10.98,3.0,0.3,33.63,15.0,12.06,,9.45,24.86,1.99,20.0,22.36
75,Sant Longowal Institute of Engineering and Technology,Longowal,Punjab,48.22,76,10.0,30.0,15.75,23.0,11.01,13.84,0.5,0.1,23.07,14.63,8.57,,23.84,19.16,2.02,20.0,5.93
76,COEP Technological University,Pune,Maharashtra,47.89,77,11.5,23.09,11.55,18.82,9.25,7.65,2.0,2.59,35.21,15.0,14.6,,2.48,23.84,5.29,20.0,33.51
77,Banasthali Vidyapith,Banasthali,Rajasthan,47.86,78,10.68,26.54,16.03,11.54,8.3,11.04,1.0,0.65,37.91,15.0,12.93,,17.77,30.0,4.39,20.0,1.78
78,National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,47.76,79,12.79,19.55,12.92,17.34,13.52,14.35,1.25,1.07,30.93,15.0,14.02,,12.35,15.62,10.64,20.0,6.33
79,Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,47.43,80,8.0,30.0,17.29,22.26,3.78,8.03,0.5,1.95,37.47,15.0,13.69,,18.73,18.38,2.67,20.0,0.9
80,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,46.79,81,14.63,12.63,7.85,14.78,15.72,18.72,2.5,0.82,30.43,15.0,15.55,,13.94,11.45,7.24,20.0,20.74
81,National Institute of Technology Agartala,Agratala,Tripura,46.69,82,12.59,18.79,12.22,19.96,11.34,13.31,0.75,0.21,33.25,14.2,12.71,,12.06,18.54,8.25,20.0,9.34
