,name,city,state,score,rank,TLR_SS Score (Max 20.00),TLR_FSR Score (Max 25.00),TLR_FQE Score (Max 20.00),TLR_FRU Score (Max 20.00),RP_PU Score (Max 15.00),RP_QP Score (Max 35.00),RP_IPR Score (Max 35.00),RP_FPPP Score (Max 15.00),GO_GPH Score (Max 15.00),GO_GUE Score (Max 60.00),GO_MS Score (Max 40.00),GO_GPHD Score (Max 30.00),OI_RD Score (Max 30.00),OI_WD Score (Max 20.00),OI_ESCS Score (Max 20.00),OI_PCS Score (Max 100.00),PR Score (Max None)
76,"National Institute of Technology, Silchar",Silchar,Assam,46.76,76,,18.14,14.57,7.84,0.0,17.56,16.91,2.0,0.37,59.63,8.8,14.33,15.46,7.31,20.0,6.29,
77,Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,46.39,78,13.23,19.25,15.84,5.23,0.0,7.6,11.18,0.5,0.4,60.0,22.46,16.82,30.0,,20.0,4.8,
78,Indian Institute of Management Kozhikode,Kozhikode,Kerala,46.36,79,7.0,25.0,17.64,16.29,0.0,3.06,5.83,0.0,6.62,60.0,1.55,25.02,27.31,0.0,20.0,23.89,
79,Guru Nanak Dev University,Amritsar,Punjab,46.31,80,14.89,17.82,10.84,7.51,0.0,10.05,14.37,1.0,3.31,60.0,18.53,3.99,29.75,2.86,20.0,10.01,
80,Mumbai University,Mumbai,Maharashtra,46.15,81,15.72,16.01,10.57,10.87,2.0,7.27,,5.0,1.82,60.0,22.54,2.85,28.93,4.17,20.0,7.26,
81,Bharathidasan University,Tiruchirappalli,Tamil Nadu,46.14,82,8.06,23.16,17.27,9.22,0.0,15.72,16.08,0.0,0.76,48.5,13.3,1.01,26.23,0.87,20.0,18.81,
82,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,46.08,83,12.65,25.0,17.95,14.08,0.0,6.08,8.04,1.0,1.95,60.0,4.33,11.21,30.0,3.87,20.0,6.78,
83,University of Kashmir,Srinagar,Jammu and Kashmir,45.98,84,15.92,18.94,14.8,,3.5,8.0,11.34,0.0,1.89,60.0,19.56,0.0,29.44,1.93,20.0,3.78,
84,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab,45.85,85,11.85,24.77,14.53,6.52,0.0,12.96,14.04,0.5,0.38,60.0,6.39,15.0,21.0,8.32,20.0,4.8,
85,All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,45.81,86,5.81,25.0,18.25,15.31,0.0,12.84,12.49,0.5,0.4,60.0,0.4,13.2,27.47,0.83,20.0,4.3,
86,Banasthali Vidyapith,Banasthali,Rajasthan,45.8,87,16.5,17.35,12.31,5.35,1.5,5.7,8.67,0.0,1.62,60.0,24.96,24.0,30.0,1.82,20.0,5.31,
87,Madurai Kamaraj University,Madurai,Tamil Nadu,45.77,88,7.72,25.0,19.13,8.98,2.5,10.43,13.08,0.0,0.53,54.04,11.2,3.32,29.14,0.0,20.0,12.6,
88,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,45.68,89,13.77,25.0,15.91,12.25,1.5,5.19,8.0,1.5,2.97,60.0,4.52,14.01,28.16,0.0,20.0,7.26,
89,Tezpur University,Tezpur,Assam,45.59,90,12.05,21.26,16.01,7.39,3.0,11.72,13.23,1.5,1.04,54.35,8.94,4.05,25.68,0.94,20.0,16.97,
90,Malaviya National Institute of Technology,Jaipur,Rajasthan,45.27,91,13.26,17.4,13.83,7.22,0.0,17.4,18.35,1.5,1.43,50.63,10.09,12.47,17.22,6.8,20.0,3.78,
91,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,45.21,92,11.31,25.0,18.17,10.77,0.0,7.35,8.8,6.0,1.39,55.14,4.45,12.24,30.0,3.44,20.0,1.42,
92,University of Jammu,Jammu,Jammu and Kashmir,45.11,93,13.13,23.36,17.8,9.6,1.0,7.24,10.89,0.0,1.0,60.0,14.83,0.12,30.0,0.51,16.0,2.74,
93,Shiv Nadar University,Dadri,Uttar Pradesh,44.94,94,8.28,24.8,19.29,11.45,0.0,8.72,10.42,0.5,,60.0,4.7,15.59,24.95,0.84,20.0,5.8,
94,Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,44.73,95,12.92,23.01,13.99,6.28,0.0,8.19,9.21,4.5,1.26,60.0,10.31,13.91,28.38,1.99,20.0,4.3,
95,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,44.69,96,10.0,21.36,14.63,,0.0,14.99,13.24,1.5,0.97,58.28,5.59,3.25,25.52,3.96,20.0,15.04,
96,University of Petroleum and Energy Studies,Dehradun,Uttarakhand,44.65,97,13.41,22.16,13.23,7.88,0.0,6.7,8.65,3.5,0.63,60.0,0.48,21.38,23.63,0.01,20.0,31.99,
97,Bangalore University,Bangalore,Karnataka,44.53,98,14.12,20.4,13.67,10.52,0.0,7.18,8.0,2.0,0.21,60.0,14.73,1.42,29.12,6.8,20.0,10.45,
98,Tata Institute of Social Sciences,Mumbai,Maharashtra,44.52,99,12.72,21.45,14.41,8.67,0.0,3.48,3.66,0.0,3.31,60.0,18.36,16.69,28.65,10.08,20.0,1.75,
99,Visvesvaraya Technological University,Belgaum,Karnataka,44.35,100,7.52,24.2,14.88,12.34,0.0,1.47,12.47,0.5,0.14,60.0,1.1,1.78,28.39,8.19,20.0,4.3,
